assigner_branch,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2many,0.7787610499634723,0.834272027015686,0.9506556987762451,0.8925619834710744,1.041371464729309,0.827210545539856,0.004758857656270266,108,000000026204.jpg,121,13
one2many,0.9417962610721589,0.9429017901420593,0.9517633795738221,0.9,0.43601110577583313,0.25974923372268677,0.0048578158020973206,18,000000027982.jpg,20,2
one2many,0.8369750529527664,0.8619380593299866,0.9143720269203186,0.9,1.0806964635849,0.5094055533409119,0.008286958560347557,18,000000030494.jpg,20,2
one2many,0.9587246298789978,0.9590071141719818,0.9625561714172364,0.9,0.30898380279541016,0.14346718788146973,0.005998306442052126,9,000000030675.jpg,10,1
one2many,0.8459971106052399,0.8358708024024963,0.9845186173915863,0.9,0.9048056602478027,1.8862817287445068,0.008218253031373024,45,000000031735.jpg,50,5
one2many,0.8558407723903656,0.85410937666893,0.9454661011695862,0.9,1.0723364353179932,0.7143781781196594,0.0049097114242613316,18,000000033005.jpg,20,2
one2many,0.8967216312885284,0.91143399477005,0.9289067506790161,0.9,0.6906825304031372,1.323572039604187,0.012189282104372978,18,000000034071.jpg,20,2
one2many,0.7580968052148819,0.792479544878006,0.9547897696495056,0.9,1.5111445188522339,0.8042923808097839,0.015374805778265,36,000000034139.jpg,40,4
one2many,0.6847975497444471,0.715674489736557,0.9523785948753357,0.9,1.3607155084609985,2.617542266845703,0.015457868576049805,54,000000034257.jpg,60,6
one2many,0.6420603960581209,0.7155597507953644,0.9182592034339905,0.8735632183908046,1.6806232929229736,1.4565424919128418,0.014854512177407742,152,000000036936.jpg,174,22
one2many,0.6938265532665296,0.7004525661468506,0.9162560343742371,0.8715596330275229,1.6141726970672607,1.3074239492416382,0.010744652710855007,95,000000039477.jpg,109,14
one2many,0.9453191929138623,0.9596613049507141,0.9717265069484711,0.8846153846153846,0.35115504264831543,0.6613675355911255,0.0069952839985489845,46,000000039769.jpg,52,6
one2many,0.7868531579772632,0.7998253703117371,0.9709233343601227,0.8166666666666667,1.0699563026428223,0.4976431429386139,0.005986189004033804,49,000000039914.jpg,60,11
one2many,0.7916035374005636,0.9001340866088867,0.9682168960571289,0.9,0.8287687301635742,1.0909807682037354,0.009968150407075882,27,000000040036.jpg,30,3
one2many,0.6520243157366556,0.740603119134903,0.8734467446804046,0.8303571428571429,1.7593516111373901,1.731048583984375,0.008374428376555443,93,000000040471.jpg,112,19
one2many,0.9445695638656616,0.9435251951217651,0.9489931643009186,0.9,0.415178120136261,0.19017063081264496,0.0092494310811162,9,000000046804.jpg,10,1
one2many,0.8439454446236293,0.8881792724132538,0.982288908958435,0.9,0.9687883853912354,1.5109001398086548,0.011099779978394508,54,000000047740.jpg,60,6
one2many,0.6716190273332041,0.7594742178916931,0.980372965335846,0.8372093023255814,0.8485413193702698,1.027838945388794,0.005991161800920963,36,000000047801.jpg,43,7
one2many,0.932155829668045,0.9334460198879242,0.9425493061542511,0.9,0.5072603225708008,0.3521365523338318,0.003965635783970356,9,000000049259.jpg,10,1
one2many,0.8855356276035309,0.8771121203899384,0.9648415148258209,0.9,0.8015819191932678,0.32534801959991455,0.021063312888145447,18,000000049269.jpg,20,2
one2many,0.9296386579672495,0.9504953324794769,0.9787027895450592,0.9,0.5261955261230469,1.715897560119629,0.008734195493161678,27,000000050326.jpg,30,3
one2many,0.7839562475681305,0.8341526985168457,0.9499061822891235,0.9,1.2631733417510986,1.777588963508606,0.02063576877117157,36,000000050331.jpg,40,4
