assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,3,21,0,overlap,3,3,3,21,3,3,0.910419225692749,0.9020885229110718,0.9634819269180298,0.0,0.6498953104019165,1.4720865488052368,0.0045056152157485485,0,000000015597.jpg,3,3
one2one,5,35,0,overlap,5,5,5,35,5,5,0.7943158864974975,0.8932157158851624,0.9142122030258178,0.0,1.3076986074447632,2.067473888397217,0.004451497457921505,0,000000016010.jpg,5,5
one2one,8,56,11,overlap,8,8,8,42,8,8,0.7203124165534973,0.7251603603363037,0.867772763967514,0.0,1.922307014465332,2.748696804046631,0.007348996587097645,0,000000017182.jpg,8,8
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8716653982798258,0.9444968104362488,0.9561468958854675,0.0,0.8580686450004578,1.6974354982376099,0.00822761096060276,0,000000017905.jpg,3,3
one2one,7,49,0,overlap,7,7,7,49,7,7,0.8678302594593593,0.8690003156661987,0.9487184882164001,0.0,0.9629204273223877,1.0801124572753906,0.010737297125160694,0,000000018150.jpg,7,7
one2one,8,56,0,overlap,8,8,8,56,8,8,0.7743233814835548,0.8334444761276245,0.9174738645553588,0.0,1.5269432067871094,1.11163330078125,0.012476007454097271,0,000000018837.jpg,8,8
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9118174612522125,0.9118174612522125,0.9308521568775177,0.0,0.6605837345123291,0.24494852125644684,0.00635716924443841,0,000000020059.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8266153037548065,0.8266153037548065,0.8899688184261322,0.0,1.2534722089767456,3.02010440826416,0.013884371146559715,0,000000021465.jpg,2,2
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8825394153594971,0.8581938147544861,0.9678103923797607,0.0,0.8417116403579712,1.3966312408447266,0.0055483682081103325,0,000000022705.jpg,5,5
one2one,4,22,1,overlap,4,4,4,21,4,4,0.5826552659273148,0.5782765746116638,0.8346622526645661,0.0,2.3844051361083984,2.162006139755249,0.01117013394832611,0,000000022755.jpg,4,4
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9777695933977762,0.9773551225662231,0.9804069757461548,0.0,0.1668117344379425,0.10748609155416489,0.0038936978671699762,0,000000022935.jpg,3,3
one2one,1,7,0,overlap,1,1,1,7,1,1,0.8914075493812561,0.8914075493812561,0.8914075493812561,0.0,0.726198673248291,0.22949844598770142,0.007092940621078014,0,000000023666.jpg,1,1
one2one,18,99,11,overlap,18,18,18,88,18,18,0.6861045074959596,0.7916857004165649,0.9489204227924347,0.0,1.6116667985916138,1.276739478111267,0.005512341391295195,0,000000024243.jpg,18,18
