assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9359292984008789,0.9571854472160339,0.9753669619560241,0.0,0.46431964635849,1.8795853853225708,0.007603006437420845,0,3,3,0,0.013127949328918476,80,3,000000050326.jpg,2,2,0.9359292984008789,0.9571854472160339,0.9753669619560241,1,1,83,0,0,0.24957030530398092,3
one2one,4,28,0,overlap,4,4,4,28,4,4,0.7621738910675049,0.7689504623413086,0.9152740478515625,0.0,1.6021348237991333,1.7251482009887695,0.024589981883764267,0,4,4,0,0.009866234795592234,197,4,000000050331.jpg,3,3,0.7621739208698273,0.7689504623413086,0.9152740478515625,1,1,201,0,0,0.26740736700594425,4
one2one,16,67,0,overlap,16,16,16,67,16,16,0.6743818409740925,0.7090048789978027,0.8684775531291962,0.0,2.0704026222229004,3.1988673210144043,0.003149546217173338,0,16,16,10,0.03464290905160969,294,16,000000052412.jpg,1,1,0.751676877339681,0.7494633793830872,0.8771876692771912,0,0,300,15,5,0.17887050503244004,6
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8248757521311442,0.8006136417388916,0.8888941764831543,0.0,1.2914211750030518,1.807687520980835,0.024606667459011078,0,3,3,0,0.006263068765464767,74,3,000000053529.jpg,2,2,0.7329525748888651,0.7630494832992554,0.881381344795227,1,1,77,0,0,0.4885368508597215,3
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7300127893686295,0.7717798948287964,0.8308785736560822,0.0,1.907035231590271,1.8618788719177246,0.015411805361509323,0,4,4,0,0.01929527925260897,105,4,000000053994.jpg,1,1,0.6986072212457657,0.7089687287807465,0.8308785915374756,1,1,109,2,2,0.2488892168039456,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.951013445854187,0.951013445854187,0.9524747133255005,0.0,0.368165522813797,0.16595624387264252,0.005899212788790464,0,2,2,0,0.003216872486518696,24,2,000000054931.jpg,2,2,0.9510133266448975,0.9510133266448975,0.9524746894836426,0,0,26,0,0,0.8708511590957642,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9830359816551208,0.9830359816551208,0.9830359816551208,0.0,0.12507785856723785,0.4581519067287445,0.003794252872467041,0,1,1,0,0.0016768742818385363,5,1,000000056545.jpg,1,1,0.9830358028411865,0.9830358028411865,0.9830358028411865,0,0,6,0,0,0.40601348876953125,1
one2one,18,88,1,overlap,18,18,18,87,18,18,0.7175361464420954,0.7484993636608124,0.8529579281806946,0.0,1.9780609607696533,1.4339158535003662,0.0022923843935132027,0,18,18,3,0.02419935316993822,197,18,000000057760.jpg,0,0,0.7542501211166381,0.7726597785949707,0.8578917860984803,0,0,212,18,15,0.3852175975839297,15
one2one,19,129,0,overlap,19,19,19,129,19,19,0.8065961536608244,0.8284111022949219,0.9293550610542297,0.0,1.3376195430755615,1.8449904918670654,0.009094441309571266,0,19,19,2,0.03429233575529376,283,19,000000059044.jpg,5,5,0.7638094320016748,0.7888955473899841,0.9355733752250671,9,8,300,5,4,0.3703777655849562,17
one2one,13,58,3,overlap,13,13,13,55,13,13,0.4894388822408823,0.5297614932060242,0.6685670852661133,0.0,3.240211248397827,2.1057205200195312,0.004418992903083563,0,13,13,6,0.005792983320795677,33,13,000000060363.jpg,1,1,0.6422778367996216,0.6223623752593994,0.795356571674347,1,0,40,11,6,0.15499019652738102,7
one2one,14,92,2,overlap,14,14,14,90,14,14,0.8506590936865125,0.8544085621833801,0.9371875822544098,0.0,1.0690239667892456,0.7465239763259888,0.004660347942262888,0,14,14,0,0.023217230440130444,286,14,000000060886.jpg,0,0,0.8506591745785305,0.854408323764801,0.9371873497962951,9,9,300,5,5,0.6347513587347099,14
one2one,17,108,0,overlap,17,17,17,108,17,17,0.7343900834812838,0.7294132113456726,0.9436457872390747,0.0,1.4810240268707275,1.3443678617477417,0.0076831975020468235,0,17,17,4,0.022629706865624374,287,17,000000060932.jpg,3,3,0.782083653486692,0.7294146418571472,0.9464611053466797,9,8,300,5,2,0.48595314444257665,13
one2one,9,58,0,overlap,9,9,9,58,9,9,0.7532304326693217,0.7690720558166504,0.9117744088172912,0.0,1.7083051204681396,2.5119881629943848,0.01645737700164318,0,9,9,1,0.008372894351925599,292,9,000000061108.jpg,5,4,0.7156127244234085,0.7510445415973663,0.9173434197902679,0,0,300,4,4,0.15391981560969725,8
one2one,7,49,3,overlap,7,7,7,46,7,7,0.8880898356437683,0.9459691047668457,0.9672575950622558,0.0,0.7494297027587891,0.896081268787384,0.010977271012961864,0,7,7,0,0.020249840917483886,147,7,000000061171.jpg,6,6,0.8660773720060077,0.9459691047668457,0.9672575950622558,1,1,154,0,0,0.37693273169653757,7
one2one,7,49,6,overlap,7,7,7,43,7,7,0.7411871467317853,0.7868599891662598,0.9446880578994751,0.0,1.6414939165115356,1.8260825872421265,0.007540496066212654,0,7,7,2,0.00546410557206215,295,7,000000063047.jpg,1,1,0.8033332467079163,0.8059882521629333,0.9460821390151978,5,4,300,1,0,0.7122699061408639,5
one2one,17,119,8,overlap,17,17,17,108,17,17,0.8454586583025315,0.8992105722427368,0.957918894290924,0.0,1.0319526195526123,1.6825628280639648,0.014279739931225777,0,17,17,1,0.010895819688716068,283,17,000000064084.jpg,11,10,0.8007357083261013,0.8653688430786133,0.9584476053714752,6,6,299,0,0,0.26514459820464253,16
