seed,device,cell,sample,image_index,total_ms,preprocess_ms,inference_ms,postprocess_ms,detections
260829,cpu,d,155,11,7213.891776991659,10.545052995439619,7202.561233993038,0.23853499442338943,4
260829,cpu,d,156,12,7243.036505009513,10.551468003541231,7231.6891939990455,0.23501199029851705,8
260829,cpu,d,157,13,7241.88549000246,10.654757992597297,7230.504655002733,0.23610200150869787,2
260829,cpu,d,158,14,7183.028775994899,10.632617995725013,7171.652197997901,0.22116801119409502,0
260829,cpu,d,159,15,7210.939258002327,10.707612003898248,7199.5005829958245,0.23016300110612065,4
260829,cpu,d,160,0,7193.995476991404,10.674347999156453,7182.588775991462,0.2333290030946955,12
260829,cpu,d,161,1,7217.107315998874,10.66431800427381,7205.681287989137,0.24327498977072537,1
260829,cpu,d,162,2,7241.85275399941,15.527512005064636,7225.575131000369,0.22748199990019202,6
260829,cpu,d,163,3,7218.0192270025145,10.69304499833379,7206.594967996352,0.23937999503687024,2
260829,cpu,d,164,4,7255.92597600189,10.64930901338812,7244.542646003538,0.227908996748738,2
260829,cpu,d,165,5,7219.1236469952855,10.72437500988599,7207.6634200057015,0.23708000662736595,3
260829,cpu,d,166,6,7209.986732006655,10.6451419997029,7198.582176992204,0.23051800963003188,2
260829,cpu,d,167,7,7202.9955350008095,10.679956001695246,7191.582813000423,0.22901600459590554,3
260829,cpu,d,168,8,7195.864195004106,10.666930000297725,7184.457680996275,0.229406010475941,7
260829,cpu,d,169,9,7194.047979995958,10.701323990360834,7182.606314003351,0.2315199963049963,14
260829,cpu,d,170,10,7193.014892996871,10.656809012289159,7181.627309997566,0.2336309989914298,7
260829,cpu,d,171,11,7217.043915996328,10.713151001255028,7205.593827995472,0.23273800616152585,4
260829,cpu,d,172,12,7254.841945003136,11.664197998470627,7242.453344995738,0.22804399486631155,8
260829,cpu,d,173,13,7219.077471992932,10.718446006649174,7207.640193999396,0.2251010009786114,2
260829,cpu,d,174,14,7250.987815990811,10.72354000643827,7239.553580002394,0.22023500059731305,0
260829,cpu,d,175,15,7227.031218993943,11.611748006544076,7211.67025899922,0.23232899548020214,4
260829,cpu,d,176,0,7211.051629987196,10.662526998203248,7199.623874999816,0.24359299277421087,12
260829,cpu,d,177,1,7207.8082249936415,10.61759699950926,7196.462104999227,0.227106997044757,1
260829,cpu,d,178,2,7203.098500001943,10.699043996282853,7191.664235011558,0.22804700711276382,6
260829,cpu,d,179,3,7213.998213002924,11.600165991694666,7198.666110998602,0.23066499852575362,2
260829,cpu,d,180,4,7202.962215000298,11.584029998630285,7187.624255995615,0.244333001319319,2
260829,cpu,d,181,5,7207.974352000747,10.581707989331335,7196.603815988055,0.24065499019343406,3
260829,cpu,d,182,6,7263.946922001196,10.6093889917247,7252.582398999948,0.22890500258654356,2
260829,cpu,d,183,7,7204.985663993284,10.677468992071226,7193.581147992518,0.2325020032003522,3
260829,cpu,d,184,8,7233.065763997729,10.696900993934833,7221.648948994698,0.22801400336902589,7
260829,cpu,d,185,9,7243.999760001316,10.700061000534333,7232.566261998727,0.23840399808250368,14
260829,cpu,d,186,10,7226.9796390028205,10.568716010311618,7215.657623994048,0.2277289895573631,7
260829,cpu,d,187,11,7228.9608839928405,10.688167996704578,7217.534278999665,0.23277800937648863,4
260829,cpu,d,188,12,7243.934683006955,11.629411004832946,7228.573622007389,0.22835799609310925,8
260829,cpu,d,189,13,7198.071300997981,10.684546010452323,7186.654631004785,0.22789801005274057,2
260829,cpu,d,190,14,7195.99241099786,15.605847991537303,7179.6534530003555,0.22918899776414037,0
260829,cpu,d,191,15,7202.935452995007,11.57769600104075,7187.597599986475,0.23542299459222704,4
260829,cpu,d,192,0,7218.15464599058,10.645768998074345,7203.740545999608,3.2490140001755208,12
260829,cpu,d,193,1,7242.775409002206,11.482214002171531,7230.549838001025,0.2252489939564839,1
260829,cpu,d,194,2,7226.15353600122,10.71300299372524,7214.7004200087395,0.23540901020169258,6
