assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,1,7,0,overlap,1,1,1,7,1,1,0.8705126047134399,0.8705126047134399,0.8705126047134399,0.0,0.8454452157020569,2.898267984390259,0.0263686440885067,0,000000075456.jpg,1,1
one2one,20,131,4,overlap,20,20,20,127,20,20,0.7700249031186104,0.7857787013053894,0.9290554702281952,0.0,1.514195203781128,1.3101885318756104,0.006699294783174992,0,000000075612.jpg,20,20
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8025571405887604,0.8025571405887604,0.8596109688282013,0.0,1.4455316066741943,1.9158430099487305,0.038215018808841705,0,000000079014.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9836519360542297,0.9836519360542297,0.9847089886665344,0.0,0.12266698479652405,0.05542450770735741,0.002550844568759203,0,000000079031.jpg,2,2
one2one,6,39,0,overlap,6,6,6,39,6,6,0.7795646886030833,0.8030818998813629,0.843580424785614,0.0,1.5956106185913086,1.007023572921753,0.0030325292609632015,0,000000079588.jpg,6,6
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9173138737678528,0.9173138737678528,0.9173138737678528,0.0,0.5718724727630615,1.8416306972503662,0.017751313745975494,0,000000080057.jpg,1,1
one2one,20,138,5,overlap,20,20,20,133,20,20,0.7799117028713226,0.8487047553062439,0.9432125627994538,0.0,1.4274927377700806,1.4460805654525757,0.008572092279791832,0,000000080340.jpg,20,20
one2one,5,35,0,overlap,5,5,5,35,5,5,0.8783577680587769,0.9366828799247742,0.9741418361663818,0.0,0.7571276426315308,1.1546573638916016,0.013124881312251091,0,000000081738.jpg,5,5
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9478015104929606,0.9384651780128479,0.962265694141388,0.0,0.3904051184654236,1.4394055604934692,0.006205548532307148,0,000000082180.jpg,3,3
one2one,4,28,0,overlap,4,4,4,28,4,4,0.9370081871747971,0.9442713558673859,0.9677157938480377,0.0,0.4656756818294525,0.9428328275680542,0.009211482480168343,0,000000082807.jpg,4,4
one2one,7,49,0,overlap,7,7,7,49,7,7,0.8070120556013924,0.8601333498954773,0.9380900502204895,0.0,1.322945237159729,2.0117690563201904,0.009137523360550404,0,000000084492.jpg,7,7
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9320989847183228,0.9194561243057251,0.9666313886642456,0.0,0.5012009739875793,0.282018780708313,0.011014156974852085,0,000000085195.jpg,3,3
one2one,6,37,4,overlap,6,6,6,33,6,6,0.8907035291194916,0.9161134958267212,0.9738613069057465,0.0,0.7651138305664062,2.193959951400757,0.0044103581458330154,0,000000086220.jpg,6,6
one2one,5,35,2,overlap,5,5,5,33,5,5,0.6723000407218933,0.6944568157196045,0.8209740519523621,0.0,2.2915055751800537,2.0580766201019287,0.011180069297552109,0,000000086755.jpg,5,5
one2one,13,91,0,overlap,13,13,13,91,13,13,0.8465176958304185,0.8818646669387817,0.9508681774139405,0.0,1.030476689338684,1.257774829864502,0.00958546157926321,0,000000088040.jpg,13,13
one2one,16,83,6,overlap,16,16,16,77,16,16,0.7368080839514732,0.8179141581058502,0.9124849438667297,0.0,1.5805548429489136,1.456703543663025,0.003199193626642227,0,000000088462.jpg,16,16
one2one,3,21,0,overlap,3,3,3,21,3,3,0.7892291049162546,0.9169692993164062,0.9642128467559814,0.0,1.1084433794021606,3.817404270172119,0.006147518754005432,0,000000089670.jpg,3,3
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9631669521331787,0.9631669521331787,0.9631669521331787,0.0,0.26639702916145325,0.143995001912117,0.005945269018411636,0,000000089761.jpg,1,1
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9504108130931854,0.9504108130931854,0.9798431813716888,0.0,0.361619770526886,0.11766582727432251,0.004681902006268501,0,000000090284.jpg,2,2
one2one,13,75,1,overlap,12,12,12,74,12,12,0.6766116494933764,0.7377631962299347,0.9277942657470704,0.0,1.8457075357437134,1.8413411378860474,0.007736352737993002,0,000000093437.jpg,12,12
one2one,9,63,0,overlap,9,9,9,63,9,9,0.862832698557112,0.9077585339546204,0.9692578792572022,0.0,0.9136509895324707,1.6094121932983398,0.009030615910887718,0,000000095707.jpg,9,9
one2one,17,104,7,overlap,17,17,17,97,17,17,0.7204556009348702,0.858168363571167,0.9251500368118286,0.0,1.4435007572174072,1.1650855541229248,0.005387523211538792,0,000000095862.jpg,17,17
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8121761878331503,0.8018254935741425,0.9084793031215668,0.0,1.3625497817993164,2.0248265266418457,0.006549825891852379,0,000000097022.jpg,6,6
