assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8686075210571289,0.8686075210571289,0.9414215564727784,0.0,0.9216403961181641,0.5513467192649841,0.004083066247403622,0,2,2,0,0.004285913653534333,183,2,000000033005.jpg,0,0,0.8686078190803528,0.8686078190803528,0.941421902179718,2,2,185,0,0,0.8503440916538239,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9138258397579193,0.9138258397579193,0.9267724692821503,0.0,0.6473274230957031,1.166481852531433,0.011445567011833191,0,2,2,0,0.006930535634318924,117,2,000000034071.jpg,2,2,0.9138258397579193,0.9138258397579193,0.9267724692821503,0,0,119,0,0,0.18202267587184906,2
one2one,4,28,1,overlap,4,4,4,27,4,4,0.719061978161335,0.7414990365505219,0.9196837782859802,0.0,1.7185437679290771,0.699046790599823,0.0179637111723423,0,4,4,0,0.009285238225545202,140,4,000000034139.jpg,3,3,0.7314761877059937,0.7414990365505219,0.919683861732483,1,1,144,0,0,0.653585965745151,4
one2one,6,42,0,overlap,6,6,6,42,6,6,0.7981641789277395,0.8521633744239807,0.9429745078086853,0.0,1.2929182052612305,3.0674116611480713,0.011388755403459072,0,6,6,1,0.03661652074463792,295,6,000000034257.jpg,2,2,0.8013397336006165,0.785757839679718,0.935674500465393,2,2,300,2,1,0.09462296217679977,5
one2one,22,143,5,overlap,22,22,22,138,22,22,0.6991282037713311,0.7147538363933563,0.9161131501197816,0.0,1.9570707082748413,2.0777411460876465,0.010777370072901249,0,22,22,5,0.01589373523507649,283,22,000000036936.jpg,4,4,0.7146822494619033,0.713218629360199,0.8980291843414306,1,1,300,17,12,0.3180653770618579,17
one2one,15,103,11,overlap,15,15,15,83,15,15,0.7318035761515299,0.6996948719024658,0.9106085777282715,0.0,1.8973244428634644,2.131603717803955,0.009300308302044868,0,15,15,0,0.010171082572554026,285,15,000000039477.jpg,2,2,0.6740944425264994,0.6516551375389099,0.8717404365539551,4,4,300,9,9,0.19852862445016703,15
one2one,6,42,4,overlap,6,6,6,38,6,6,0.9482118288675944,0.960470050573349,0.9787144362926483,0.0,0.3755970001220703,1.094923973083496,0.0060813697054982185,0,6,6,0,0.008989101688688,75,6,000000039769.jpg,4,4,0.939676304658254,0.9539415836334229,0.9639193117618561,2,2,81,0,0,0.5284535561998686,6
one2one,11,51,0,overlap,11,11,11,51,11,11,0.7927771427414634,0.7837493419647217,0.9558311700820923,0.0,1.464021921157837,0.8253557682037354,0.0038894121535122395,0,11,11,0,0.01817337645034334,165,11,000000039914.jpg,2,2,0.7612482092597268,0.7837493419647217,0.9558311700820923,1,1,176,8,8,0.5268209143118425,11
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8236724932988485,0.9268885254859924,0.9533070683479309,0.0,1.0797796249389648,1.7770428657531738,0.008947434835135937,0,3,3,1,0.009662576184263858,46,3,000000040036.jpg,2,2,0.943400114774704,0.943400114774704,0.9566093862056733,1,0,48,0,0,0.8587370216846466,2
one2one,20,100,8,overlap,19,19,19,92,19,19,0.6956783156645926,0.7208245396614075,0.8599554300308228,0.0,2.1014275550842285,2.265510320663452,0.005739704240113497,0,19,19,7,0.010859315440574667,287,20,000000040471.jpg,2,2,0.7125966227971591,0.7208256721496582,0.853197193145752,2,2,300,16,9,0.20234220104220396,13
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9446138739585876,0.9446138739585876,0.9446138739585876,0.0,0.3925318717956543,0.12311224639415741,0.008877144195139408,0,1,1,0,0.0011978636030107737,2,1,000000046804.jpg,1,1,0.9446138739585876,0.9446138739585876,0.9446138739585876,0,0,3,0,0,0.950185239315033,1
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8618902266025543,0.8992253839969635,0.9764295220375061,0.0,0.9130251407623291,1.6868103742599487,0.008504368364810944,0,6,6,0,0.015558367471150573,62,6,000000047740.jpg,3,3,0.7745558321475983,0.8012203276157379,0.959537535905838,1,1,68,2,2,0.3522214101006587,6
one2one,7,34,0,overlap,7,7,7,34,7,7,0.6610571529184069,0.6927506327629089,0.9345081448554993,0.0,1.7876323461532593,2.055147886276245,0.0063411640003323555,0,7,7,3,0.012856380458288186,128,7,000000047801.jpg,1,1,0.8362282961606979,0.8428527414798737,0.9558785378932952,2,1,132,4,2,0.39121877821162343,4
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9507242441177368,0.9507242441177368,0.9507242441177368,0.0,0.35243356227874756,0.3510628938674927,0.002791417296975851,0,1,1,0,0.0065090239746496085,45,1,000000049259.jpg,0,0,0.9507240056991577,0.9507240056991577,0.9507240056991577,1,1,46,0,0,0.7889449596405029,1
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8923589289188385,0.8923589289188385,0.9524018585681915,0.0,0.7738262414932251,0.22970861196517944,0.020030774176120758,0,2,2,0,0.046708759230872,3,2,000000049269.jpg,2,2,0.8923589289188385,0.8923589289188385,0.9524018585681915,0,0,5,0,0,0.9093234539031982,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9381065567334493,0.9610961675643921,0.9763006925582886,0.0,0.4482865035533905,1.748793363571167,0.007443634793162346,0,3,3,0,0.008955816931350604,79,3,000000050326.jpg,2,2,0.9381065567334493,0.9610961675643921,0.9763006925582886,1,1,82,0,0,0.33013150057134527,3
one2one,4,28,0,overlap,4,4,4,28,4,4,0.8473223298788071,0.882880449295044,0.9278790473937988,0.0,1.0704355239868164,2.4388551712036133,0.017736326903104782,0,4,4,0,0.008442014665524059,257,4,000000050331.jpg,3,3,0.7622213661670685,0.773438423871994,0.9148927927017212,1,1,261,0,0,0.28022465389221907,4
one2one,16,67,0,overlap,16,16,16,67,16,16,0.6800333904102445,0.7142274975776672,0.874988466501236,0.0,2.0453505516052246,3.1653175354003906,0.0030302507802844048,0,16,16,8,0.033431772512626155,292,16,000000052412.jpg,1,1,0.691520631313324,0.662041425704956,0.8625207245349884,0,0,300,15,7,0.14160818234086037,8
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8349404335021973,0.812778890132904,0.9078385233879089,0.0,1.2040964365005493,1.7394356727600098,0.021775081753730774,0,3,3,0,0.006629786961841294,72,3,000000053529.jpg,2,2,0.7396018107732137,0.7604390978813171,0.8973705649375916,1,1,75,0,0,0.49515027925372124,3
one2one,4,28,2,overlap,4,4,4,26,4,4,0.7353085279464722,0.7927065789699554,0.8351043581962585,0.0,1.8416168689727783,1.873023271560669,0.015451326966285706,0,4,4,0,0.020048974457630278,101,4,000000053994.jpg,1,1,0.7000740617513657,0.7222379148006439,0.8351041615009308,1,1,105,2,2,0.22349305340321735,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9523087739944458,0.9523087739944458,0.9539845705032348,0.0,0.35854706168174744,0.16274459660053253,0.005617036018520594,0,2,2,0,0.00328864048882995,23,2,000000054931.jpg,2,2,0.952308714389801,0.952308714389801,0.9539845585823059,0,0,25,0,0,0.8732661008834839,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9884706139564514,0.9884706139564514,0.9884706139564514,0.0,0.08549527078866959,0.5588852167129517,0.0026430466677993536,0,1,1,0,0.001903393742395565,4,1,000000056545.jpg,1,1,0.9884706139564514,0.9884706139564514,0.9884706139564514,0,0,5,0,0,0.33200639486312866,1
one2one,18,88,1,overlap,18,18,18,87,18,18,0.7194365097416772,0.7468867003917694,0.8596827566623688,0.0,1.9603271484375,1.3874789476394653,0.002259453758597374,0,18,18,3,0.022457330542356643,215,18,000000057760.jpg,0,0,0.7595265587170918,0.7803071141242981,0.8650631666183471,0,0,230,18,15,0.40175400575002035,15
one2one,19,129,0,overlap,19,19,19,129,19,19,0.7971695316465277,0.7957254648208618,0.9378563404083252,0.0,1.397082805633545,1.7461073398590088,0.00916862953454256,0,19,19,2,0.03170196871049439,283,19,000000059044.jpg,5,5,0.7631441915736479,0.7865492105484009,0.9423036575317383,9,8,300,5,4,0.36835223695208485,17
one2one,13,58,3,overlap,13,13,13,55,13,13,0.4879075105373676,0.5151671767234802,0.6742461562156677,0.0,3.2445056438446045,2.0198822021484375,0.003555327421054244,0,13,13,6,0.00496960407721677,35,13,000000060363.jpg,1,1,0.6411615865571159,0.6145129799842834,0.8013140797615053,1,0,42,11,6,0.15483950550800987,7
one2one,14,92,2,overlap,14,14,14,90,14,14,0.8521455866949899,0.8532711863517761,0.9399787902832031,0.0,1.0585737228393555,0.7540614008903503,0.004642068408429623,0,14,14,0,0.02388360071683081,286,14,000000060886.jpg,0,0,0.8521457144192287,0.8532709777355194,0.9399785935878754,9,9,300,5,5,0.6191302782722882,14
one2one,17,107,0,overlap,17,17,17,107,17,17,0.7379737965324346,0.7397391200065613,0.9328681826591492,0.0,1.4703030586242676,1.4142307043075562,0.007760796695947647,0,17,17,3,0.02515752331379775,286,17,000000060932.jpg,3,3,0.7602836915424892,0.7362407743930817,0.9344767093658448,9,8,300,5,3,0.4313092732003757,14
one2one,9,58,0,overlap,9,9,9,58,9,9,0.756954613659117,0.7674194574356079,0.9132599115371705,0.0,1.6765936613082886,2.591797113418579,0.016358427703380585,0,9,9,2,0.0076516959230070345,286,9,000000061108.jpg,5,4,0.7496863433292934,0.7898511290550232,0.9231005787849427,0,0,293,4,3,0.17097584600560367,7
one2one,7,49,2,overlap,7,7,7,47,7,7,0.8867908205304827,0.9465278387069702,0.96159588098526,0.0,0.7619614601135254,0.9710506200790405,0.011168678291141987,0,7,7,0,0.02102667637276075,144,7,000000061171.jpg,6,6,0.8699695553098407,0.9465278387069702,0.96159588098526,1,1,151,0,0,0.3858036366956575,7
one2one,7,49,6,overlap,7,7,7,43,7,7,0.7673142084053585,0.772088348865509,0.9451425313949585,0.0,1.5301539897918701,2.3300621509552,0.007691527716815472,0,7,7,2,0.006283754105995394,295,7,000000063047.jpg,1,1,0.7935132026672364,0.8088380098342896,0.9477515935897827,5,4,300,1,0,0.6216913297306746,5
