seed,cell,sample,model_forward_ms,adapter_total_ms,base_ms,factor_ms,adapter_residual_combine_ms,moe_total_ms,router_ms,shared_expert_ms,selected_expert_compute_ms,expert_dispatch_aggregate_ms,non_adapter_model_ms
260829,a,42,5.6708478927612305,4.485119968652725,0.3309440016746521,4.116480067372322,0.03769589960575104,0,0,0,0,0.0,1.1857279241085052
260829,a,43,5.681151866912842,4.483071953058243,0.33081600069999695,4.115456059575081,0.03679989278316498,0,0,0,0,0.0,1.198079913854599
260829,a,44,5.681215763092041,4.482047945261002,0.32870400696992874,4.115456059575081,0.037887878715991974,0,0,0,0,0.0,1.1991678178310394
260829,a,45,5.7045440673828125,4.505247920751572,0.34623999893665314,4.119327947497368,0.03967997431755066,0,0,0,0,0.0,1.1992961466312408
260829,a,46,5.6985602378845215,4.505599945783615,0.3298880010843277,4.113151997327805,0.06255994737148285,0,0,0,0,0.0,1.1929602921009064
260829,a,47,5.71289587020874,4.512863993644714,0.3553280085325241,4.118303939700127,0.0392320454120636,0,0,0,0,0.0,1.2000318765640259
260829,a,48,5.678080081939697,4.484064012765884,0.33075200766324997,4.11648003757,0.036831967532634735,0,0,0,0,0.0,1.1940160691738129
260829,a,49,5.673984050750732,4.4822401106357574,0.32979200035333633,4.114335983991623,0.03811212629079819,0,0,0,0,0.0,1.191743940114975
260829,a,50,5.6750078201293945,4.47558405995369,0.32873599976301193,4.1085120141506195,0.038336046040058136,0,0,0,0,0.0,1.199423760175705
260829,a,51,5.67091178894043,4.48102393746376,0.3277760073542595,4.11539189517498,0.03785603493452072,0,0,0,0,0.0,1.1898878514766693
260829,a,52,5.673984050750732,4.481119930744171,0.33350399881601334,4.112384036183357,0.03523189574480057,0,0,0,0,0.0,1.1928641200065613
260829,a,53,5.691391944885254,4.48079988360405,0.32870400696992874,4.1117440313100815,0.04035184532403946,0,0,0,0,0.0,1.2105920612812042
260829,a,54,5.691391944885254,4.502431929111481,0.32972800731658936,4.133696109056473,0.03900781273841858,0,0,0,0,0.0,1.1889600157737732
260829,a,55,5.6815361976623535,4.484959989786148,0.3304000049829483,4.115456059575081,0.039103925228118896,0,0,0,0,0.0,1.1965762078762054
260829,a,56,5.711872100830078,4.486784130334854,0.3309760019183159,4.116704061627388,0.03910406678915024,0,0,0,0,0.0,1.225087970495224
260829,a,57,5.700607776641846,4.486143976449966,0.3326079994440079,4.114463970065117,0.039072006940841675,0,0,0,0,0.0,1.2144638001918793
260829,a,58,5.69923210144043,4.510463863611221,0.35228800028562546,4.118175908923149,0.03999995440244675,0,0,0,0,0.0,1.1887682378292084
260829,a,59,5.6842241287231445,4.489760011434555,0.3328000083565712,4.1195520013570786,0.037408001720905304,0,0,0,0,0.0,1.1944641172885895
260829,a,60,5.679135799407959,4.486975967884064,0.33184000104665756,4.115680053830147,0.03945591300725937,0,0,0,0,0.0,1.1921598315238953
260829,a,61,5.6787519454956055,4.485119968652725,0.3320639953017235,4.115456059575081,0.03759991377592087,0,0,0,0,0.0,1.1936319768428802
260829,a,62,5.685247898101807,4.4912640154361725,0.3361920043826103,4.11648003757,0.03859197348356247,0,0,0,0,0.0,1.1939838826656342
260829,a,63,5.671584129333496,4.481823951005936,0.3304320052266121,4.11443205177784,0.03695989400148392,0,0,0,0,0.0,1.1897601783275604
