assign_assigner_branch,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2many,0.9300385236740112,0.9490397274494171,0.9795287489891052,0.9,0.5242276787757874,1.752538800239563,0.008616232313215733,27,30,3,0,0.011338906939593418,68,3,000000050326.jpg,2,2,0.9276782075564066,0.9519709944725037,0.9573612570762634,1,1,71,0,0,0.32788834705327946,3
one2many,0.7790640681982041,0.8347744941711426,0.9490609347820282,0.9,1.395883321762085,1.7355817556381226,0.02218588814139366,36,40,4,0,0.009602227477106925,205,4,000000050331.jpg,3,3,0.7469297796487808,0.750092089176178,0.8941757559776307,1,1,209,0,0,0.2674368489533663,4
one2many,0.5562356878859056,0.5328687429428101,0.9470717310905457,0.7746478873239436,1.7887248992919922,2.385448455810547,0.004114020615816116,55,71,16,7,0.05400901842747152,291,16,000000052412.jpg,1,1,0.7081935273276435,0.7369095087051392,0.8342502117156982,0,0,300,15,8,0.1473179188453489,9
one2many,0.7759004990259807,0.7667340338230133,0.9384134173393249,0.9,1.5886653661727905,1.820870280265808,0.026096200570464134,27,30,3,0,0.009005580185025576,105,3,000000053529.jpg,2,2,0.749302089214325,0.755113422870636,0.9211570382118225,1,1,108,0,0,0.46419274993240833,3
one2many,0.645647888120852,0.7198593020439148,0.8371438264846802,0.8947368421052632,1.6306016445159912,1.084842562675476,0.01990542560815811,34,38,4,1,0.018203223216625923,107,4,000000053994.jpg,1,1,0.7259865999221802,0.7493953704833984,0.8189555644989014,1,1,110,2,1,0.3967990465462208,3
one2many,0.955900302529335,0.9526601731777191,0.9706959903240204,0.9,0.326884925365448,0.19711105525493622,0.005071345716714859,18,20,2,0,0.003979022368394698,26,2,000000054931.jpg,2,2,0.9624883532524109,0.9624883532524109,0.9706853747367858,0,0,28,0,0,0.8714635074138641,2
one2many,0.978284877538681,0.9794452488422394,0.9863241672515869,0.9,0.15631864964962006,0.4825612008571625,0.005362671799957752,9,10,1,0,0.00238687070668675,4,1,000000056545.jpg,1,1,0.986280620098114,0.986280620098114,0.986280620098114,0,0,5,0,0,0.5886591076850891,1
one2many,0.6301031919953587,0.6790023446083069,0.8236680030822754,0.8021978021978022,1.8600285053253174,1.1366162300109863,0.0026465211994946003,73,91,18,3,0.029308330992589126,185,18,000000057760.jpg,0,0,0.7609525839487712,0.7647663950920105,0.8656342983245849,0,0,200,18,15,0.3999006152153015,15
one2many,0.717650164061231,0.7679576277732849,0.9408113360404968,0.8961748633879781,1.2880703210830688,1.303844690322876,0.010062439367175102,164,183,19,1,0.03941907436448209,282,19,000000059044.jpg,5,5,0.7413475149207644,0.7572855949401855,0.9351912379264832,9,9,300,5,4,0.38020367082208395,18
one2many,0.42986422708878913,0.3810257315635681,0.971750921010971,0.7833333333333333,1.97783362865448,1.3927018642425537,0.004891286604106426,47,60,13,7,0.009110760568133132,33,13,000000060363.jpg,1,1,0.6753471493721008,0.6321517527103424,0.825319230556488,1,0,39,11,5,0.1850418553998073,6
