assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7218944877386093,0.7426850497722626,0.9250491261482239,0.0,1.693567156791687,0.6380574107170105,0.017152318730950356,0,000000034139.jpg,4,4
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8074029584725698,0.8542734980583191,0.9417109191417694,0.0,1.2611128091812134,2.8875932693481445,0.010954143479466438,0,000000034257.jpg,6,6
one2one,22,142,5,overlap,22,22,22,137,22,22,0.6913607052781365,0.7239331603050232,0.9135085463523865,0.0,1.9925793409347534,2.0479705333709717,0.011227007955312729,0,000000036936.jpg,22,22
one2one,15,103,11,overlap,14,14,14,81,14,14,0.7289154018674578,0.7253044843673706,0.8808606505393983,0.0,1.9395607709884644,2.132845401763916,0.00956092681735754,0,000000039477.jpg,14,14
one2one,6,42,3,overlap,6,6,6,39,6,6,0.9418162306149801,0.9568562805652618,0.967837393283844,0.0,0.42575037479400635,1.0170519351959229,0.008538119494915009,0,000000039769.jpg,6,6
one2one,11,51,0,overlap,11,11,11,51,11,11,0.7947811592708934,0.7995246648788452,0.9528032541275024,0.0,1.4505698680877686,0.8258476257324219,0.0038913425523787737,0,000000039914.jpg,11,11
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8111365834871928,0.9148178696632385,0.9507282376289368,0.0,1.1395273208618164,1.8152889013290405,0.009656010195612907,0,000000040036.jpg,3,3
one2one,20,100,7,overlap,19,19,19,93,19,19,0.6963711977005005,0.7153161764144897,0.8596312165260315,0.0,2.082127332687378,2.28385853767395,0.005584655329585075,0,000000040471.jpg,19,19
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9444243907928467,0.9444243907928467,0.9444243907928467,0.0,0.3938218653202057,0.21701663732528687,0.008905638940632343,0,000000046804.jpg,1,1
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8641455670197805,0.8920614719390869,0.9790472090244293,0.0,0.9018049836158752,1.5389244556427002,0.007981562986969948,0,000000047740.jpg,6,6
one2one,7,35,0,overlap,7,7,7,35,7,7,0.6530448304755347,0.6877651810646057,0.9334011316299439,0.0,1.8031589984893799,2.036839723587036,0.006400128826498985,0,000000047801.jpg,7,7
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9467771649360657,0.9467771649360657,0.9467771649360657,0.0,0.3791506886482239,0.3882344365119934,0.003009304404258728,0,000000049259.jpg,1,1
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8897285461425781,0.8897285461425781,0.9491551399230957,0.0,0.7948188781738281,0.24866539239883423,0.02075464092195034,0,000000049269.jpg,2,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9359205563863119,0.9561312794685364,0.9747650742530822,0.0,0.46515703201293945,1.7691051959991455,0.007582288235425949,0,000000050326.jpg,3,3
one2one,4,28,0,overlap,4,4,4,28,4,4,0.8408090472221375,0.8641412854194641,0.9260704994201661,0.0,1.1246979236602783,2.422405481338501,0.018413260579109192,0,000000050331.jpg,4,4
one2one,16,67,0,overlap,16,16,16,67,16,16,0.6774124149233103,0.7071404457092285,0.8758468329906464,0.0,2.047528028488159,3.208021402359009,0.003108665347099304,0,000000052412.jpg,16,16
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8245278398195902,0.8008103370666504,0.8889699459075928,0.0,1.293914556503296,1.8272955417633057,0.024705927819013596,0,000000053529.jpg,3,3
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7385358065366745,0.7834361493587494,0.8346627116203308,0.0,1.8529140949249268,1.8676886558532715,0.015250230208039284,0,000000053994.jpg,4,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9523077011108398,0.9523077011108398,0.9531493663787842,0.0,0.35842570662498474,0.16283006966114044,0.005632068961858749,0,000000054931.jpg,2,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9845914840698242,0.9845914840698242,0.9845914840698242,0.0,0.11379402875900269,0.46972721815109253,0.0033475360833108425,0,000000056545.jpg,1,1
one2one,18,88,1,overlap,18,18,18,87,18,18,0.7172912740045123,0.7498106360435486,0.8560817658901214,0.0,1.9758541584014893,1.4299581050872803,0.0022803021129220724,0,000000057760.jpg,18,18
one2one,19,129,0,overlap,19,19,19,129,19,19,0.805082851334622,0.8229281306266785,0.9386148691177368,0.0,1.3448406457901,1.8324509859085083,0.009103194810450077,0,000000059044.jpg,19,19
one2one,13,58,3,overlap,13,13,13,55,13,13,0.492378436602079,0.5310173034667969,0.6731704473495483,0.0,3.2219624519348145,2.125359058380127,0.00435589998960495,0,000000060363.jpg,13,13
one2one,14,92,2,overlap,14,14,14,90,14,14,0.8514194658824376,0.8551857769489288,0.936254870891571,0.0,1.0647661685943604,0.7381657361984253,0.004660073667764664,0,000000060886.jpg,14,14
one2one,17,108,0,overlap,17,17,17,108,17,17,0.7333272651714438,0.7279542088508606,0.9438871741294861,0.0,1.4896295070648193,1.3384472131729126,0.007758051156997681,0,000000060932.jpg,17,17
one2one,9,58,0,overlap,9,9,9,58,9,9,0.752157900068495,0.7842528820037842,0.9130780100822449,0.0,1.7028872966766357,2.5612475872039795,0.01647171378135681,0,000000061108.jpg,9,9
one2one,7,49,2,overlap,7,7,7,47,7,7,0.8883746862411499,0.9467363953590393,0.9661747336387634,0.0,0.7475529909133911,0.8681797981262207,0.010911652818322182,0,000000061171.jpg,7,7
one2one,7,49,5,overlap,7,7,7,44,7,7,0.738215548651559,0.7776429653167725,0.9450179219245911,0.0,1.654749870300293,1.9235525131225586,0.007640504278242588,0,000000063047.jpg,7,7
one2one,17,119,7,overlap,17,17,17,110,17,17,0.8500088383169735,0.899688184261322,0.9565040826797485,0.0,1.0034167766571045,1.6887720823287964,0.013867808505892754,0,000000064084.jpg,17,17
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9435458779335022,0.9435458779335022,0.9435458779335022,0.0,0.4013899564743042,0.22862808406352997,0.005944276228547096,0,000000064495.jpg,1,1
