assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9186860720316569,0.9001268744468689,0.9624565482139588,0.0,0.5956630706787109,1.543013334274292,0.004293662495911121,0,3,3,1,0.004080412490293383,65,3,000000015597.jpg,1,1,0.9390830099582672,0.9390830099582672,0.9702479183673859,2,1,67,0,0,0.9096777141094208,2
one2one,5,35,0,overlap,5,5,5,35,5,5,0.7941535711288452,0.8926833271980286,0.9146357178688049,0.0,1.3115057945251465,2.052600622177124,0.0044432636350393295,0,5,5,0,0.013984691171701681,295,5,000000016010.jpg,0,0,0.7998124599456787,0.892684280872345,0.9146349549293518,1,1,300,4,4,0.19726471919566393,5
one2one,8,56,12,overlap,7,7,7,42,7,7,0.7418091212000165,0.731000542640686,0.8863411188125611,0.0,1.7653920650482178,2.4621620178222656,0.006550799123942852,0,7,7,1,0.009610672013271445,144,8,000000017182.jpg,0,0,0.696858252797808,0.724757194519043,0.8775323152542115,7,6,151,1,1,0.10982586293747383,7
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8691121141115824,0.9440889358520508,0.956594705581665,0.0,0.8685420155525208,1.8412072658538818,0.008523651398718357,0,3,3,0,0.022141625753310683,54,3,000000017905.jpg,1,1,0.8691124320030212,0.9440889954566956,0.9565954327583313,2,2,57,0,0,0.3274456799651186,3
one2one,7,49,0,overlap,7,7,7,49,7,7,0.8662299939564296,0.8692833781242371,0.9463981509208679,0.0,0.9755529165267944,1.0775260925292969,0.010884253308176994,0,7,7,0,0.009874881088035182,160,7,000000018150.jpg,3,3,0.8662299769265311,0.8692831993103027,0.9463981747627258,3,3,167,1,1,0.47064891647148344,7
one2one,8,56,0,overlap,8,8,8,56,8,8,0.774225227534771,0.8314265012741089,0.919197940826416,0.0,1.5278033018112183,1.1145209074020386,0.01243334636092186,0,8,8,0,0.011374471598996537,241,8,000000018837.jpg,3,3,0.7361011356115341,0.7554282248020172,0.9191979825496673,3,3,249,2,2,0.37710380321368575,8
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9111340343952179,0.9111340343952179,0.9308174669742584,0.0,0.6654646396636963,0.26311272382736206,0.006407545879483223,0,2,2,0,0.09064692433457822,3,2,000000020059.jpg,1,1,0.911133885383606,0.911133885383606,0.9308175802230835,1,1,5,0,0,0.885422021150589,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8263383507728577,0.8263383507728577,0.8901394486427308,0.0,1.2547249794006348,3.0686357021331787,0.013920595869421959,0,2,2,0,0.02317825016556245,298,2,000000021465.jpg,0,0,0.8263385593891144,0.8263385593891144,0.8901399195194244,2,2,300,0,0,0.6056944131851196,2
one2one,5,35,2,overlap,5,5,5,33,5,5,0.881043016910553,0.8556267619132996,0.9669583678245545,0.0,0.8522688150405884,1.391798973083496,0.005577294621616602,0,5,5,1,0.009657923822536545,186,5,000000022705.jpg,2,2,0.869695395231247,0.8418827950954437,0.9370208144187927,2,1,190,1,1,0.7434143722057343,4
one2one,4,22,2,overlap,4,4,4,20,4,4,0.5795192793011665,0.5754790157079697,0.8308210968971252,0.0,2.4075510501861572,2.193803310394287,0.011394733563065529,0,4,4,2,0.01057836544365346,199,4,000000022755.jpg,1,1,0.8190149962902069,0.8190149962902069,0.8426252782344819,1,1,201,2,0,0.20487213134765625,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.978470245997111,0.9770247340202332,0.9810554385185242,0.0,0.16155841946601868,0.10836703330278397,0.0036927578039467335,0,3,3,0,0.007683521503349766,20,3,000000022935.jpg,3,3,0.9784700671831766,0.9770243167877197,0.9810552597045898,0,0,23,0,0,0.9172227581342062,3
one2one,1,7,0,overlap,1,1,1,7,1,1,0.8923495411872864,0.8923495411872864,0.8923495411872864,0.0,0.7206594944000244,0.24953098595142365,0.0070431106723845005,0,1,1,0,0.008200737107968465,11,1,000000023666.jpg,1,1,0.892349898815155,0.892349898815155,0.892349898815155,0,0,12,0,0,0.852916955947876,1
one2one,18,99,11,overlap,18,18,18,88,18,18,0.6891462715963522,0.7959466576576233,0.9480275511741638,0.0,1.585951328277588,1.2936137914657593,0.0054973820224404335,0,18,18,5,0.019490061352152754,287,18,000000024243.jpg,3,3,0.8110771912794846,0.8361493945121765,0.9519465923309326,2,2,300,13,8,0.3843879024856366,13
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7917607724666595,0.7917607724666595,0.8346394717693328,0.0,1.5739681720733643,1.666174054145813,0.053671665489673615,0,2,2,0,0.003916224789766905,24,2,000000025139.jpg,2,2,0.7917607724666595,0.7917607724666595,0.8346394717693328,0,0,26,0,0,0.47114750486798584,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.913918693860372,0.8892924189567566,0.9592332243919373,0.0,0.6331081986427307,0.5947867035865784,0.004950675647705793,0,3,3,0,0.02733469541734931,11,3,000000025424.jpg,2,2,0.8635280728340149,0.8892916440963745,0.9592330694198609,0,0,14,1,1,0.7815777063369751,3
one2one,13,86,0,overlap,13,13,13,86,13,13,0.8123598878200238,0.8498838543891907,0.9506541967391968,0.0,1.248937726020813,1.3357617855072021,0.004807235673069954,0,13,13,2,0.025236090416391622,289,13,000000026204.jpg,1,1,0.8172423351894725,0.857224702835083,0.9515722990036011,6,6,300,6,4,0.6058752961795438,11
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9466444551944733,0.9466444551944733,0.9625068962574005,0.0,0.39770272374153137,0.2774218022823334,0.004695598501712084,0,2,2,0,0.006848569371303993,58,2,000000027982.jpg,1,1,0.9466447234153748,0.9466447234153748,0.9625072360038758,1,1,60,0,0,0.9121022522449493,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7954177260398865,0.7954177260398865,0.8846565127372742,0.0,1.421826958656311,0.5949184894561768,0.009080382995307446,0,2,2,0,0.03470024926661465,19,2,000000030494.jpg,1,1,0.7954177260398865,0.7954177260398865,0.8846565127372742,0,0,21,1,1,0.6629975140094757,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.96113520860672,0.96113520860672,0.96113520860672,0.0,0.2803041934967041,0.1285843402147293,0.005548868328332901,0,1,1,0,0.0030366278369911015,12,1,000000030675.jpg,1,1,0.9611353874206543,0.9611353874206543,0.9611353874206543,0,0,13,0,0,0.9401280283927917,1
